r,baseline25,baseline50,learning25,learning50
1.0,27.895999999999994,7.160000000000004,27.935999999999982,7.7200000000000015
1.2,27.895999999999994,7.160000000000004,28.027999999999984,8.088000000000003
1.4,27.895999999999994,7.160000000000004,28.03199999999998,8.884000000000004
1.6,27.895999999999994,7.160000000000004,28.03999999999999,9.828000000000007
1.8,27.895999999999994,7.160000000000004,28.035999999999984,10.892000000000007
2.0,27.895999999999994,7.160000000000004,27.807999999999982,12.848000000000004
2.2,27.895999999999994,7.160000000000004,28.063999999999982,14.615999999999998
2.4,27.895999999999994,7.160000000000004,28.159999999999986,17.003999999999998
2.6,27.895999999999994,7.160000000000004,28.303999999999984,19.515999999999995
2.8,27.895999999999994,7.160000000000004,28.463999999999988,21.89599999999999
3.0,27.895999999999994,7.160000000000004,28.535999999999984,23.93199999999999
3.2,27.895999999999994,7.160000000000004,28.767999999999983,25.42799999999999
3.4,27.895999999999994,7.160000000000004,28.515999999999984,26.015999999999988
3.6,27.895999999999994,7.160000000000004,28.43199999999999,26.247999999999994
3.8,27.895999999999994,7.160000000000004,28.379999999999995,25.559999999999995
4.0,27.895999999999994,7.160000000000004,28.051999999999992,24.519999999999996
4.2,27.895999999999994,7.160000000000004,27.803999999999984,22.623999999999995
4.4,27.895999999999994,7.160000000000004,27.163999999999987,20.695999999999994
4.6,27.895999999999994,7.160000000000004,26.427999999999983,18.503999999999994
4.8,27.895999999999994,7.160000000000004,25.359999999999992,16.375999999999998
5.0,27.895999999999994,7.160000000000004,24.087999999999994,14.448
5.2,27.895999999999994,7.160000000000004,22.77599999999999,12.168000000000005
5.4,27.895999999999994,7.160000000000004,21.219999999999995,10.228000000000003
5.6,27.895999999999994,7.160000000000004,19.967999999999993,8.764000000000003
5.8,27.895999999999994,7.160000000000004,18.423999999999992,7.352
6.0,27.895999999999994,7.160000000000004,17.095999999999993,6.2520000000000024
